Index,Hogwarts House
1,Hufflepuff
2,Ravenclaw
3,Gryffindor
4,Hufflepuff
5,Hufflepuff
6,Slytherin
7,Ravenclaw
8,Hufflepuff
9,Ravenclaw
10,Hufflepuff
11,Hufflepuff
12,Slytherin
13,Slytherin
14,Slytherin
15,Slytherin
16,Hufflepuff
17,Ravenclaw
18,Slytherin
19,Ravenclaw
20,Hufflepuff
21,Hufflepuff
22,Slytherin
23,Ravenclaw
24,Ravenclaw
25,Hufflepuff
26,Hufflepuff
27,Ravenclaw
28,Slytherin
29,Gryffindor
30,Ravenclaw
31,Hufflepuff
32,Hufflepuff
33,Gryffindor
34,Hufflepuff
35,Hufflepuff
36,Ravenclaw
37,Gryffindor
38,Ravenclaw
39,Slytherin
40,Ravenclaw
41,Ravenclaw
42,Slytherin
43,Hufflepuff
44,Slytherin
45,Hufflepuff
46,Ravenclaw
47,Slytherin
48,Gryffindor
49,Ravenclaw
50,Slytherin
51,Ravenclaw
52,Hufflepuff
53,Ravenclaw
54,Ravenclaw
55,Hufflepuff
56,Slytherin
57,Slytherin
58,Ravenclaw
59,Hufflepuff
60,Gryffindor
61,Gryffindor
62,Gryffindor
63,Hufflepuff
64,Hufflepuff
65,Ravenclaw
66,Hufflepuff
67,Hufflepuff
68,Ravenclaw
69,Hufflepuff
70,Ravenclaw
71,Slytherin
72,Slytherin
73,Gryffindor
74,Ravenclaw
75,Gryffindor
76,Hufflepuff
77,Hufflepuff
78,Gryffindor
79,Ravenclaw
80,Gryffindor
81,Ravenclaw
82,Hufflepuff
83,Slytherin
84,Gryffindor
85,Gryffindor
86,Hufflepuff
87,Hufflepuff
88,Hufflepuff
89,Ravenclaw
90,Ravenclaw
91,Hufflepuff
92,Slytherin
93,Gryffindor
94,Hufflepuff
95,Ravenclaw
96,Ravenclaw
97,Gryffindor
98,Slytherin
99,Hufflepuff
100,Ravenclaw
101,Hufflepuff
102,Hufflepuff
103,Hufflepuff
104,Slytherin
105,Ravenclaw
106,Ravenclaw
107,Hufflepuff
108,Slytherin
109,Slytherin
110,Hufflepuff
111,Hufflepuff
112,Slytherin
113,Gryffindor
114,Ravenclaw
115,Hufflepuff
116,Ravenclaw
117,Ravenclaw
118,Hufflepuff
119,Slytherin
120,Ravenclaw
121,Gryffindor
122,Hufflepuff
123,Gryffindor
124,Gryffindor
125,Ravenclaw
126,Ravenclaw
127,Slytherin
128,Ravenclaw
129,Hufflepuff
130,Ravenclaw
131,Ravenclaw
132,Gryffindor
133,Gryffindor
134,Slytherin
135,Hufflepuff
136,Ravenclaw
137,Ravenclaw
138,Slytherin
139,Gryffindor
140,Hufflepuff
141,Hufflepuff
142,Ravenclaw
143,Gryffindor
144,Ravenclaw
145,Gryffindor
146,Ravenclaw
147,Ravenclaw
148,Hufflepuff
149,Hufflepuff
150,Ravenclaw
151,Hufflepuff
152,Gryffindor
153,Gryffindor
154,Ravenclaw
155,Ravenclaw
156,Gryffindor
157,Hufflepuff
158,Slytherin
159,Hufflepuff
160,Ravenclaw
161,Ravenclaw
162,Hufflepuff
163,Hufflepuff
164,Hufflepuff
165,Ravenclaw
166,Slytherin
167,Hufflepuff
168,Hufflepuff
169,Hufflepuff
170,Hufflepuff
171,Gryffindor
172,Hufflepuff
173,Hufflepuff
